source	target	type	strength
T_AGEING	R_ASSET	Trend-Risk	16
T_AGEING	R_BIODIVERSITY	Trend-Risk	1
T_AGEING	R_CRITICALINFO	Trend-Risk	2
T_AGEING	R_CRITICALINFRA	Trend-Risk	26
T_AGEING	R_DATAFRAUD	Trend-Risk	2
T_AGEING	R_DEFLATION	Trend-Risk	31
T_AGEING	R_ENERGY	Trend-Risk	1
T_AGEING	R_FAILUREURBAN	Trend-Risk	32
T_AGEING	R_FINANCIALMECH	Trend-Risk	17
T_AGEING	R_FISCALCRISES	Trend-Risk	56
T_AGEING	R_FOOD	Trend-Risk	7
T_AGEING	R_INFECTIOUSDISEASES	Trend-Risk	5
T_AGEING	R_INFLATION	Trend-Risk	7
T_AGEING	R_INTERSTATE	Trend-Risk	3
T_AGEING	R_MANMADECATA	Trend-Risk	2
T_AGEING	R_MIGRATION	Trend-Risk	16
T_AGEING	R_NATIONALGOV	Trend-Risk	17
T_AGEING	R_NATURALCATA	Trend-Risk	2
T_AGEING	R_SOCIALINSTABILITY	Trend-Risk	64
T_AGEING	R_STATECOLLAPSE	Trend-Risk	5
T_AGEING	R_TECHADV	Trend-Risk	9
T_AGEING	R_TERRORIST	Trend-Risk	1
T_AGEING	R_UNEMPLOYMENT	Trend-Risk	56
T_AGEING	R_WATER	Trend-Risk	5
T_AGEING	R_WEATHEREVENTS	Trend-Risk	3
T_AGEING	R_WMD	Trend-Risk	1
T_CHRONICDISEASES	R_ASSET	Trend-Risk	1
T_CHRONICDISEASES	R_BIODIVERSITY	Trend-Risk	2
T_CHRONICDISEASES	R_CRITICALINFO	Trend-Risk	1
T_CHRONICDISEASES	R_CRITICALINFRA	Trend-Risk	11
T_CHRONICDISEASES	R_DEFLATION	Trend-Risk	2
T_CHRONICDISEASES	R_FAILURECLIMATE	Trend-Risk	5
T_CHRONICDISEASES	R_FAILUREURBAN	Trend-Risk	7
T_CHRONICDISEASES	R_FINANCIALMECH	Trend-Risk	3
T_CHRONICDISEASES	R_FISCALCRISES	Trend-Risk	3
T_CHRONICDISEASES	R_FOOD	Trend-Risk	5
T_CHRONICDISEASES	R_INFECTIOUSDISEASES	Trend-Risk	9
T_CHRONICDISEASES	R_INFLATION	Trend-Risk	1
T_CHRONICDISEASES	R_MANMADECATA	Trend-Risk	3
T_CHRONICDISEASES	R_MIGRATION	Trend-Risk	4
T_CHRONICDISEASES	R_NATIONALGOV	Trend-Risk	1
T_CHRONICDISEASES	R_NATURALCATA	Trend-Risk	2
T_CHRONICDISEASES	R_SOCIALINSTABILITY	Trend-Risk	6
T_CHRONICDISEASES	R_STATECOLLAPSE	Trend-Risk	1
T_CHRONICDISEASES	R_TECHADV	Trend-Risk	5
T_CHRONICDISEASES	R_TERRORIST	Trend-Risk	1
T_CHRONICDISEASES	R_UNEMPLOYMENT	Trend-Risk	4
T_CHRONICDISEASES	R_WATER	Trend-Risk	4
T_CLIMATECHANGE	R_ASSET	Trend-Risk	1
T_CLIMATECHANGE	R_BIODIVERSITY	Trend-Risk	100
T_CLIMATECHANGE	R_CRITICALINFO	Trend-Risk	4
T_CLIMATECHANGE	R_CRITICALINFRA	Trend-Risk	8
T_CLIMATECHANGE	R_CYBERATTACKS	Trend-Risk	1
T_CLIMATECHANGE	R_DATAFRAUD	Trend-Risk	1
T_CLIMATECHANGE	R_DEFLATION	Trend-Risk	2
T_CLIMATECHANGE	R_ENERGY	Trend-Risk	11
T_CLIMATECHANGE	R_FAILURECLIMATE	Trend-Risk	108
T_CLIMATECHANGE	R_FAILUREURBAN	Trend-Risk	17
T_CLIMATECHANGE	R_FINANCIALMECH	Trend-Risk	3
T_CLIMATECHANGE	R_FISCALCRISES	Trend-Risk	3
T_CLIMATECHANGE	R_FOOD	Trend-Risk	80
T_CLIMATECHANGE	R_ILLICITTRADE	Trend-Risk	1
T_CLIMATECHANGE	R_INFECTIOUSDISEASES	Trend-Risk	7
T_CLIMATECHANGE	R_INFLATION	Trend-Risk	2
T_CLIMATECHANGE	R_INTERSTATE	Trend-Risk	2
T_CLIMATECHANGE	R_MANMADECATA	Trend-Risk	36
T_CLIMATECHANGE	R_MIGRATION	Trend-Risk	30
T_CLIMATECHANGE	R_NATIONALGOV	Trend-Risk	9
T_CLIMATECHANGE	R_NATURALCATA	Trend-Risk	61
T_CLIMATECHANGE	R_SOCIALINSTABILITY	Trend-Risk	19
T_CLIMATECHANGE	R_STATECOLLAPSE	Trend-Risk	13
T_CLIMATECHANGE	R_TECHADV	Trend-Risk	6
T_CLIMATECHANGE	R_UNEMPLOYMENT	Trend-Risk	3
T_CLIMATECHANGE	R_WATER	Trend-Risk	109
T_CLIMATECHANGE	R_WEATHEREVENTS	Trend-Risk	145
T_CLIMATECHANGE	R_WMD	Trend-Risk	1
T_CYBERDEPENDENCY	R_ASSET	Trend-Risk	2
T_CYBERDEPENDENCY	R_BIODIVERSITY	Trend-Risk	2
T_CYBERDEPENDENCY	R_CRITICALINFO	Trend-Risk	91
T_CYBERDEPENDENCY	R_CRITICALINFRA	Trend-Risk	27
T_CYBERDEPENDENCY	R_CYBERATTACKS	Trend-Risk	135
T_CYBERDEPENDENCY	R_DATAFRAUD	Trend-Risk	104
T_CYBERDEPENDENCY	R_ENERGY	Trend-Risk	2
T_CYBERDEPENDENCY	R_FAILUREURBAN	Trend-Risk	1
T_CYBERDEPENDENCY	R_FINANCIALMECH	Trend-Risk	10
T_CYBERDEPENDENCY	R_FISCALCRISES	Trend-Risk	3
T_CYBERDEPENDENCY	R_FOOD	Trend-Risk	3
T_CYBERDEPENDENCY	R_ILLICITTRADE	Trend-Risk	14
T_CYBERDEPENDENCY	R_INFECTIOUSDISEASES	Trend-Risk	1
T_CYBERDEPENDENCY	R_INTERSTATE	Trend-Risk	8
T_CYBERDEPENDENCY	R_MANMADECATA	Trend-Risk	4
T_CYBERDEPENDENCY	R_MIGRATION	Trend-Risk	4
T_CYBERDEPENDENCY	R_NATIONALGOV	Trend-Risk	6
T_CYBERDEPENDENCY	R_NATURALCATA	Trend-Risk	1
T_CYBERDEPENDENCY	R_SOCIALINSTABILITY	Trend-Risk	11
T_CYBERDEPENDENCY	R_STATECOLLAPSE	Trend-Risk	2
T_CYBERDEPENDENCY	R_TECHADV	Trend-Risk	65
T_CYBERDEPENDENCY	R_TERRORIST	Trend-Risk	16
T_CYBERDEPENDENCY	R_UNEMPLOYMENT	Trend-Risk	13
T_CYBERDEPENDENCY	R_WATER	Trend-Risk	1
T_CYBERDEPENDENCY	R_WMD	Trend-Risk	1
T_ENVIRONMENTALDEG	R_BIODIVERSITY	Trend-Risk	51
T_ENVIRONMENTALDEG	R_CRITICALINFO	Trend-Risk	2
T_ENVIRONMENTALDEG	R_CRITICALINFRA	Trend-Risk	3
T_ENVIRONMENTALDEG	R_ENERGY	Trend-Risk	10
T_ENVIRONMENTALDEG	R_FAILURECLIMATE	Trend-Risk	28
T_ENVIRONMENTALDEG	R_FAILUREURBAN	Trend-Risk	12
T_ENVIRONMENTALDEG	R_FINANCIALMECH	Trend-Risk	2
T_ENVIRONMENTALDEG	R_FISCALCRISES	Trend-Risk	2
T_ENVIRONMENTALDEG	R_FOOD	Trend-Risk	42
T_ENVIRONMENTALDEG	R_ILLICITTRADE	Trend-Risk	4
T_ENVIRONMENTALDEG	R_INFECTIOUSDISEASES	Trend-Risk	4
T_ENVIRONMENTALDEG	R_INTERSTATE	Trend-Risk	3
T_ENVIRONMENTALDEG	R_MANMADECATA	Trend-Risk	33
T_ENVIRONMENTALDEG	R_MIGRATION	Trend-Risk	12
T_ENVIRONMENTALDEG	R_NATIONALGOV	Trend-Risk	4
T_ENVIRONMENTALDEG	R_NATURALCATA	Trend-Risk	19
T_ENVIRONMENTALDEG	R_SOCIALINSTABILITY	Trend-Risk	10
T_ENVIRONMENTALDEG	R_STATECOLLAPSE	Trend-Risk	1
T_ENVIRONMENTALDEG	R_TECHADV	Trend-Risk	1
T_ENVIRONMENTALDEG	R_TERRORIST	Trend-Risk	2
T_ENVIRONMENTALDEG	R_UNEMPLOYMENT	Trend-Risk	1
T_ENVIRONMENTALDEG	R_WATER	Trend-Risk	52
T_ENVIRONMENTALDEG	R_WEATHEREVENTS	Trend-Risk	36
T_ENVIRONMENTALDEG	R_WMD	Trend-Risk	1
T_INCOMEDISP	R_ASSET	Trend-Risk	37
T_INCOMEDISP	R_BIODIVERSITY	Trend-Risk	1
T_INCOMEDISP	R_CRITICALINFO	Trend-Risk	1
T_INCOMEDISP	R_CRITICALINFRA	Trend-Risk	6
T_INCOMEDISP	R_CYBERATTACKS	Trend-Risk	2
T_INCOMEDISP	R_DATAFRAUD	Trend-Risk	4
T_INCOMEDISP	R_DEFLATION	Trend-Risk	25
T_INCOMEDISP	R_ENERGY	Trend-Risk	4
T_INCOMEDISP	R_FAILURECLIMATE	Trend-Risk	4
T_INCOMEDISP	R_FAILUREURBAN	Trend-Risk	20
T_INCOMEDISP	R_FINANCIALMECH	Trend-Risk	32
T_INCOMEDISP	R_FISCALCRISES	Trend-Risk	35
T_INCOMEDISP	R_FOOD	Trend-Risk	14
T_INCOMEDISP	R_ILLICITTRADE	Trend-Risk	33
T_INCOMEDISP	R_INFECTIOUSDISEASES	Trend-Risk	2
T_INCOMEDISP	R_INFLATION	Trend-Risk	15
T_INCOMEDISP	R_INTERSTATE	Trend-Risk	13
T_INCOMEDISP	R_MANMADECATA	Trend-Risk	1
T_INCOMEDISP	R_MIGRATION	Trend-Risk	47
T_INCOMEDISP	R_NATIONALGOV	Trend-Risk	72
T_INCOMEDISP	R_NATURALCATA	Trend-Risk	2
T_INCOMEDISP	R_SOCIALINSTABILITY	Trend-Risk	165
T_INCOMEDISP	R_STATECOLLAPSE	Trend-Risk	40
T_INCOMEDISP	R_TECHADV	Trend-Risk	15
T_INCOMEDISP	R_TERRORIST	Trend-Risk	10
T_INCOMEDISP	R_UNEMPLOYMENT	Trend-Risk	132
T_INCOMEDISP	R_WATER	Trend-Risk	3
T_INCOMEDISP	R_WEATHEREVENTS	Trend-Risk	1
T_INTERGOVERNANCE	R_ASSET	Trend-Risk	4
T_INTERGOVERNANCE	R_BIODIVERSITY	Trend-Risk	1
T_INTERGOVERNANCE	R_CRITICALINFO	Trend-Risk	5
T_INTERGOVERNANCE	R_CRITICALINFRA	Trend-Risk	6
T_INTERGOVERNANCE	R_CYBERATTACKS	Trend-Risk	10
T_INTERGOVERNANCE	R_DATAFRAUD	Trend-Risk	2
T_INTERGOVERNANCE	R_DEFLATION	Trend-Risk	10
T_INTERGOVERNANCE	R_ENERGY	Trend-Risk	4
