risk	group	impact	likelihood
R_ASSET	Business	5.030612469	5.149659634
R_ASSET	Expert	5.092826843	5.143459797
R_ASSET	Female	5.016216278	5.059459686
R_ASSET	Male	5	5.029082775
R_ASSET	Non-Business	4.987842083	4.954407215
R_ASSET	Non-Expert	4.976501465	4.989556313
R_ASSET	Overall	5.004746914	5.037974834
R_ASSET	Senior	4.886956692	5.052174091
R_ASSET	Young	5.377483368	5.059602737
R_BIODIVERSITY	Business	5.061433315	4.563139915
R_BIODIVERSITY	Expert	5.571428776	5.301587105
R_BIODIVERSITY	Female	5.640186787	5.112149715
R_BIODIVERSITY	Male	4.898454666	4.596026421
R_BIODIVERSITY	Non-Business	5.199999809	4.920547962
R_BIODIVERSITY	Non-Expert	5.089830399	4.699999809
R_BIODIVERSITY	Overall	5.136431694	4.761619091
R_BIODIVERSITY	Senior	4.981092453	4.613445282
R_BIODIVERSITY	Young	5.568047523	5.207100391
R_CRITICALINFO	Business	4.861111164	4.1875
R_CRITICALINFO	Expert	4.940170765	4.247863293
R_CRITICALINFO	Female	5.071065903	4.294416428
R_CRITICALINFO	Male	4.743875504	4.198218346
R_CRITICALINFO	Non-Business	4.825214863	4.260745049
R_CRITICALINFO	Non-Expert	4.824324131	4.223937988
R_CRITICALINFO	Overall	4.843653202	4.227554321
R_CRITICALINFO	Senior	4.744588852	4.242424011
R_CRITICALINFO	Young	5.135802269	4.209876537
R_CRITICALINFRA	Business	4.208754063	4.478114605
R_CRITICALINFRA	Expert	4.082251072	4.238095284
R_CRITICALINFRA	Female	4.378640652	4.432038784
R_CRITICALINFRA	Male	4.010661125	4.285714149
R_CRITICALINFRA	Non-Business	4.051351547	4.205405235
R_CRITICALINFRA	Non-Expert	4.14685297	4.384615421
R_CRITICALINFRA	Overall	4.122962952	4.330370426
R_CRITICALINFRA	Senior	4.136929512	4.346473217
R_CRITICALINFRA	Young	4.08187151	4.304093361
R_CYBERATTACKS	Business	4.996598721	5.204081535
R_CYBERATTACKS	Expert	5.099173546	5.34710741
R_CYBERATTACKS	Female	5.299516678	5.086956501
R_CYBERATTACKS	Male	4.828633308	5.154013157
R_CYBERATTACKS	Non-Business	4.950549603	5.074175835
R_CYBERATTACKS	Non-Expert	4.934333801	5.084427834
R_CYBERATTACKS	Overall	4.974550724	5.133233547
R_CYBERATTACKS	Senior	4.862213135	5.217119217
R_CYBERATTACKS	Young	5.227544785	4.952095985
R_DATAFRAUD	Business	4.447811604	5.313131332
R_DATAFRAUD	Expert	4.591666698	5.533333302
R_DATAFRAUD	Female	5.043902397	5.312195301
R_DATAFRAUD	Male	4.192139626	5.144104958
R_DATAFRAUD	Non-Business	4.452247143	5.103932381
R_DATAFRAUD	Non-Expert	4.419659615	5.132325172
R_DATAFRAUD	Overall	4.455505371	5.1960783
R_DATAFRAUD	Senior	4.258947372	5.261052608
R_DATAFRAUD	Young	5.005882263	5.099999905
R_DEFLATION	Business	4.501754284	4.592982292
R_DEFLATION	Expert	4.438596725	4.570175648
R_DEFLATION	Female	4.805263042	4.51052618
R_DEFLATION	Male	4.396789074	4.527523041
R_DEFLATION	Non-Business	4.540298462	4.462686539
R_DEFLATION	Non-Expert	4.574026108	4.501298904
R_DEFLATION	Overall	4.520766735	4.52236414
R_DEFLATION	Senior	4.373601913	4.510066986
R_DEFLATION	Young	4.911392212	4.594936848
R_ENERGY	Business	5.122448921	4.758503437
R_ENERGY	Expert	5.029787064	4.672340393
R_ENERGY	Female	5.436892986	5.009708881
R_ENERGY	Male	5.014989376	4.597430229
R_ENERGY	Non-Business	5.164865017	4.697297096
R_ENERGY	Non-Expert	5.205673695	4.735224724
R_ENERGY	Overall	5.144130707	4.72362566
R_ENERGY	Senior	5.032989502	4.626804352
R_ENERGY	Young	5.487951756	5.036144733
R_FAILURECLIMATE	Business	5.236065388	5.377048969
R_FAILURECLIMATE	Expert	5.75	5.765625
R_FAILURECLIMATE	Female	5.608108044	5.477477551
R_FAILURECLIMATE	Male	5.203821659	5.363057137
R_FAILURECLIMATE	Non-Business	5.41160965	5.41424799
R_FAILURECLIMATE	Non-Expert	5.286644936	5.356677532
R_FAILURECLIMATE	Overall	5.333333492	5.399711609
R_FAILURECLIMATE	Senior	5.231854916	5.397177219
R_FAILURECLIMATE	Young	5.636363506	5.392045498
R_FAILUREURBAN	Business	3.668896437	4.635451317
R_FAILUREURBAN	Expert	4.224359035	4.75
R_FAILUREURBAN	Female	3.947115421	4.754807472
R_FAILUREURBAN	Male	3.688984871	4.725701809
R_FAILUREURBAN	Non-Business	3.853994608	4.82093668
R_FAILUREURBAN	Non-Expert	3.610337973	4.729622364
R_FAILUREURBAN	Overall	3.769001484	4.734724522
R_FAILUREURBAN	Senior	3.589583397	4.685416698
R_FAILUREURBAN	Young	4.223529339	4.864706039
R_FINANCIALMECH	Business	4.8039217	4.578431606
R_FINANCIALMECH	Expert	4.738589287	4.564315319
R_FINANCIALMECH	Female	4.965517044	4.551723957
R_FINANCIALMECH	Male	4.745689869	4.530172348
R_FINANCIALMECH	Non-Business	4.809659004	4.5
R_FINANCIALMECH	Non-Expert	4.871046066	4.535279751
R_FINANCIALMECH	Overall	4.812593937	4.53673172
R_FINANCIALMECH	Senior	4.711252689	4.467091084
R_FINANCIALMECH	Young	5.114942551	4.701149464
R_FISCALCRISES	Business	5.026229382	5.039344311
R_FISCALCRISES	Expert	4.979674816	4.959349632
R_FISCALCRISES	Female	5.252380848	5.047618866
R_FISCALCRISES	Male	4.964435101	4.937238693
R_FISCALCRISES	Non-Business	5.072386265	4.914208889
R_FISCALCRISES	Non-Expert	5.095571041	4.981351852
R_FISCALCRISES	Overall	5.052325726	4.970930099
R_FISCALCRISES	Senior	4.95740366	4.931034565
R_FISCALCRISES	Young	5.28000021	5.034285545
R_FOOD	Business	4.877887726	4.752475262
R_FOOD	Expert	5.283132553	5.07228899
R_FOOD	Female	5.330316544	5.190045357
R_FOOD	Male	4.783613682	4.636554718
R_FOOD	Non-Business	5.015625	4.848958492
R_FOOD	Non-Expert	4.852998257	4.729207039
R_FOOD	Overall	4.956958294	4.812051773
R_FOOD	Senior	4.784989834	4.697768688
R_FOOD	Young	5.448087215	5.125682831
R_ILLICITTRADE	Business	4.023411274	5.127090454
R_ILLICITTRADE	Expert	3.844155788	4.939393997
R_ILLICITTRADE	Female	4.91428566	5.304761887
R_ILLICITTRADE	Male	3.921775818	5.084566593
R_ILLICITTRADE	Non-Business	4.358288765	5.152406216
R_ILLICITTRADE	Non-Expert	4.416475773	5.258581161
R_ILLICITTRADE	Overall	4.226940155	5.152269363
R_ILLICITTRADE	Senior	4.041322231	5.115702629
R_ILLICITTRADE	Young	4.755681992	5.278409004
R_INFECTIOUSDISEASES	Business	4.941979408	4.044368744
R_INFECTIOUSDISEASES	Expert	4.967105389	4.203947544
R_INFECTIOUSDISEASES	Female	5.1960783	4.308823586
R_INFECTIOUSDISEASES	Male	4.934924126	4.084598541
R_INFECTIOUSDISEASES	Non-Business	5.068870544	4.231404781
R_INFECTIOUSDISEASES	Non-Expert	5.036144733	4.12449789
R_INFECTIOUSDISEASES	Overall	5.015037537	4.153383255
R_INFECTIOUSDISEASES	Senior	4.900634289	4.128963947
R_INFECTIOUSDISEASES	Young	5.29824543	4.239766121
R_INFLATION	Business	4.440972328	3.541666746
R_INFLATION	Expert	4.139830589	3.313559294
R_INFLATION	Female	4.5	3.919354916
R_INFLATION	Male	4.340806961	3.443946123
R_INFLATION	Non-Business	4.346268654	3.620895624
R_INFLATION	Non-Expert	4.544502735	3.761780024
R_INFLATION	Overall	4.387658119	3.583860874
R_INFLATION	Senior	4.263157845	3.388157845
R_INFLATION	Young	4.772727489	4.194805145
R_INTERSTATE	Business	4.832214832	5.419463158
R_INTERSTATE	Expert	5.336538315	5.682692528
R_INTERSTATE	Female	5.120192528	5.423077106
R_INTERSTATE	Male	4.82911396	5.350211143
R_INTERSTATE	Non-Business	4.981283188	5.33957243
R_INTERSTATE	Non-Expert	4.834519386	5.318505287
R_INTERSTATE	Overall	4.917888641	5.372434139
R_INTERSTATE	Senior	4.84297514	5.413223267
R_INTERSTATE	Young	5.085227489	5.238636494
R_MANMADECATA	Business	4.247491837	5.060200691
R_MANMADECATA	Expert	4.393939495	5.257575989
R_MANMADECATA	Female	4.925581455	5.302325726
R_MANMADECATA	Male	4.057446957	4.961702347
R_MANMADECATA	Non-Business	4.390957355	5.077127457
R_MANMADECATA	Non-Expert	4.30629158	5.044702053
R_MANMADECATA	Overall	4.329926968	5.068613052
R_MANMADECATA	Senior	4.088659763	5.002061844
R_MANMADECATA	Young	4.971751213	5.271186352
R_MIGRATION	Business	4.957516193	5.764705658
R_MIGRATION	Expert	5.621951103	5.780488014
R_MIGRATION	Female	5.616438389	5.894977093
R_MIGRATION	Male	4.993801594	5.772727489
R_MIGRATION	Non-Business	5.348837376	5.847545147
R_MIGRATION	Non-Expert	5.049713135	5.826004028
R_MIGRATION	Overall	5.187766552	5.810811043
R_MIGRATION	Senior	5.044265747	5.863179207
R_MIGRATION	Young	5.561497211	5.668449402
R_NATIONALGOV	Business	4.450479031	5.255590916
R_NATIONALGOV	Expert	4.766990185	5.776699066
R_NATIONALGOV	Female	4.884792805	5.447004795
R_NATIONALGOV	Male	4.290123463	5.222222328
R_NATIONALGOV	Non-Business	4.48947382	5.321052551
R_NATIONALGOV	Non-Expert	4.416095734	5.208904266
R_NATIONALGOV	Overall	4.473684311	5.29160738
R_NATIONALGOV	Senior	4.3572855	5.273453236
R_NATIONALGOV	Young	4.81215477	5.353590965
R_NATURALCATA	Business	4.333333492	5.37457037
R_NATURALCATA	Expert	4.793650627	5.333333492
R_NATURALCATA	Female	5.060465336	5.488372326
R_NATURALCATA	Male	4.203501225	5.218818188
R_NATURALCATA	Non-Business	4.587601185	5.253369331
R_NATURALCATA	Non-Expert	4.429293156	5.297979832
R_NATURALCATA	Overall	4.477678776	5.305059433
R_NATURALCATA	Senior	4.254697323	5.275574207
R_NATURALCATA	Young	5.070588112	5.405882359
R_SOCIALINSTABILITY	Business	4.932432652	5.033783913
R_SOCIALINSTABILITY	Expert	5.449367046	5.341772079
R_SOCIALINSTABILITY	Female	5.257143021	5.361904621
R_SOCIALINSTABILITY	Male	4.86206913	4.954741478
R_SOCIALINSTABILITY	Non-Business	5.010869503	5.105978489
R_SOCIALINSTABILITY	Non-Expert	4.83896637	5
R_SOCIALINSTABILITY	Overall	4.985163212	5.081602573
R_SOCIALINSTABILITY	Senior	4.893970966	5.00623703
R_SOCIALINSTABILITY	Young	5.255814075	5.395349026
R_STATECOLLAPSE	Business	4.248365879	5.088235378
R_STATECOLLAPSE	Expert	4.760000229	5.650000095
R_STATECOLLAPSE	Female	4.692307472	5.120192528
R_STATECOLLAPSE	Male	4.261410713	5.060165882
R_STATECOLLAPSE	Non-Business	4.501333237	5.0746665
R_STATECOLLAPSE	Non-Expert	4.332173824	4.98434782
R_STATECOLLAPSE	Overall	4.391304493	5.078260899
R_STATECOLLAPSE	Senior	4.269230843	5.143724918
R_STATECOLLAPSE	Young	4.760000229	4.942857265
R_TECHADV	Business	4.455479622	4.253424644
R_TECHADV	Expert	4.669354916	4.137096882
R_TECHADV	Female	4.876847267	4.477832317
R_TECHADV	Male	4.416846752	4.183585167
R_TECHADV	Non-Business	4.653846264	4.296703339
R_TECHADV	Non-Expert	4.536723137	4.306968212
R_TECHADV	Overall	4.557056904	4.273273468
R_TECHADV	Senior	4.332627296	4.192796707
R_TECHADV	Young	5.146892548	4.48022604
R_TERRORIST	Business	4.78666687	4.866666794
R_TERRORIST	Expert	4.772277355	5
R_TERRORIST	Female	5.271028042	4.925233841
R_TERRORIST	Male	4.643162251	4.782051086
R_TERRORIST	Non-Business	4.884408474	4.806451797
R_TERRORIST	Non-Expert	4.846017838	4.784070969
R_TERRORIST	Overall	4.840176105	4.826979637
R_TERRORIST	Senior	4.706365585	4.907597542
R_TERRORIST	Young	5.154285908	4.622857094
R_UNEMPLOYMENT	Business	4.899022579	5.254071712
R_UNEMPLOYMENT	Expert	4.970833302	5.270833492
R_UNEMPLOYMENT	Female	5.188940048	5.308755875
R_UNEMPLOYMENT	Male	4.809623241	5.152719498
R_UNEMPLOYMENT	Non-Business	4.934036732	5.15039587
R_UNEMPLOYMENT	Non-Expert	4.891156673	5.160997868
R_UNEMPLOYMENT	Overall	4.928057671	5.201438904
R_UNEMPLOYMENT	Senior	4.798768044	5.135523796
R_UNEMPLOYMENT	Young	5.199999809	5.340540409
R_WATER	Business	5.198019981	5.141914368
R_WATER	Expert	5.503067493	5.398773193
R_WATER	Female	5.618181705	5.604545593
R_WATER	Male	5.03125	5.008333206
R_WATER	Non-Business	5.226804256	5.234536171
R_WATER	Non-Expert	5.12643671	5.134099483
R_WATER	Overall	5.215714455	5.195714474
R_WATER	Senior	5.01006031	5.070422649
R_WATER	Young	5.765027523	5.524590015
R_WEATHEREVENTS	Business	4.420000076	5.610000134
R_WEATHEREVENTS	Expert	5.209677219	6.241935253
R_WEATHEREVENTS	Female	5.09375	5.6875
R_WEATHEREVENTS	Male	4.43070364	5.577825069
R_WEATHEREVENTS	Non-Business	4.804177761	5.616188049
R_WEATHEREVENTS	Non-Expert	4.572357655	5.544715405
R_WEATHEREVENTS	Overall	4.645021439	5.613275528
R_WEATHEREVENTS	Senior	4.484786987	5.638945103
R_WEATHEREVENTS	Young	5.090395451	5.548022747
R_WMD	Business	5.2191782	3.684931517
R_WMD	Expert	5.257425785	3.613861322
R_WMD	Female	5.300000191	3.994999886
R_WMD	Male	5.182017326	3.598684311
R_WMD	Non-Business	5.211864471	3.757062197
R_WMD	Non-Expert	5.212177277	3.719557285
R_WMD	Overall	5.217988014	3.719512224
R_WMD	Senior	5.113978386	3.591397762
R_WMD	Young	5.461538315	4.094674587
