id	short_id	long_label	label	type	description	category
R_ASSET	ASSET	Asset bubbles in a major economy	Asset bubbles in a major economy	Risk	Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region	Economic
R_DEFLATION	DEFLATION	Deflation in a major economy  	Deflation	Risk	Prolonged near-zero inflation or deflation in a major economy or region	Economic
R_FINANCIALMECH	FINANCIALMECH	Failure of a major financial mechanism or institution	Failure of financial mechanism or institution	Risk	Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy	Economic
R_CRITICALINFRA	CRITICALINFRA	Failure/shortfall of critical infrastructure 	Failure of critical infrastructure	Risk	Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications	Economic
R_FISCALCRISES	FISCALCRISES	Fiscal crises in key economies	Fiscal crises	Risk	Excessive debt burdens that generate sovereign debt crises and/or liquidity crises	Economic
R_UNEMPLOYMENT	UNEMPLOYMENT	High structural unemployment or underemployment	Unemployment or underemployment	Risk	A sustained high level of unemployment or underutilization of the productive capacity of the employed population 	Economic
R_ILLICITTRADE	ILLICITTRADE	Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)	Illicit trade	Risk	Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth	Economic
R_ENERGY	ENERGY	Severe energy price shock (increase or decrease)	Energy price shock	Risk	Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers	Economic
R_INFLATION	INFLATION	Unmanageable inflation	Unmanageable inflation	Risk	Unmanageable increases in the general price levels of goods and services in key economies	Economic
R_WEATHEREVENTS	WEATHEREVENTS	Extreme weather events (e.g. floods, storms, etc.)	Extreme weather events	Risk	Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events	Environmental
R_FAILURECLIMATE	FAILURECLIMATE	Failure of climate-change mitigation and adaptation	Failure of climate-change mitigation and adaptation	Risk	The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt	Environmental
