Source;Target;Weight
11;20;97
4;11;24
4;25;12
0;9;21
3;26;11
3;27;10
7;9;33
14;22;32
8;10;35
4;20;25
6;23;35
18;27;7
16;25;10
17;27;1
7;11;32
2;12;5
5;13;37
9;24;44
19;25;20
19;27;10
1;19;18
10;20;38
11;24;36
6;14;38
14;23;37
13;23;34
16;22;12
7;10;36
4;26;12
4;19;18
3;25;14
12;17;2
9;20;35
16;26;14
15;22;30
19;26;17
8;24;36
12;18;6
0;20;26
10;24;43
8;21;34
6;15;35
15;21;39
6;13;37
16;27;9
4;9;20
2;17;7
3;19;15
3;12;7
6;21;39
13;22;46
13;21;45
5;15;38
1;11;24
1;9;20
2;18;7
7;24;37
0;11;26
5;21;42
14;21;42
12;27;5
1;20;25
